단어,설명
양수도계약서 (assignment and assumption agreement) ,채권 및 계약에 따라 매수인이 양수 및 인수할 채권관계서류에 관하여 본 계약서에 첨부된 별첨의 양식에 의한 양수 및 인수계약서를 양수도계약서라 한다. 한편 Loan Sale Agreement(LSA)는 매도인과 매수인사이에서 채권의 매매 사실에 대한 계약으로 포괄적인 의미를 지닌다. 
양여 (transfer/assignment) ,국가가 대가를 받지 않고 국유잡종재산의 소유권을 국가 이외의 자에게 이전하는 것으로서 민법상의 증여에 해당한다. 
양해각서 (MOU: Memorandum Of Understanding) ,"국가간에 합의된 사항을 담은 문서로서 조약과 같은 법적 효력을 갖는다. 일반적으로 기존협정에서 합의된 내용을 명확히 하거나 모협정(母協定)의 후속조치를 확인하기 위해 체결한다. 민간기업 사이에서 교환되는 양해각서는 일반적으로 어떤 사업의 이해당사자들이 본계약 체결 이전에 교섭 중간결과를 바탕으로 서로 양해된 사항을 확인, 기록할 때 사용된다. 예를 들어 채권금융기관(갑)과 채무자(을), 채권자(병), 채무자의 주주(정) 간의 합의서로서 주된 내용은 기업을 회생시키기 위한 채권금융기관의 권리유보로서 ①채무상한의 유예 ②금리면제, 감면, 이자지급유예 ③출자전환이 3대 핵심을 이루기도 한다. 본 계약서는 MOU에 명시된 내용과 달라질 수도 있다. 민간기업 사이의 MOU는 법적인 강제성은 없지만 타당한 근거 없이 어길 경우 도덕적 비난이 따른다. 그러나 국가 사이에서 체결되는 양해각서는 외교적 구속력을 갖는다. 어떤 사업에 대한 당사자들의 의지를 표현하는 서류인 의향서 (LOI: Letter of Intent)보다 한 단계 더 진전된 것이다. "
어음 (note) ,"어음이란 미래의 일정기일에 일정금액을 지급하겠다는 것을 약속한 증권을 말한다. 발행되는 어음의 종류에는 약속어음과 환어음이 있다. 지급을 약속하는 증권을 약속어음이라 하고, 제3자에게 지급을 위탁하는 증권을 환어음이라 한다. 수표는 법률상의 형식에 있어서는 환어음과 같은 지급위탁증권이나, 경제상의 기능에 있어서는 어음에서와 같은 신용작용을 하지 아니하고 지급작용만 하는 것이기 때문에, 어음법과 구별하여 수표법이라는 다른 법률을 규정하고 있다. 한편, 어음은 그 권면에 이자가 표시되어 있느냐의 여부에 따라 이자부어음과 무이자부어음으로 나눌 수 있다. 이자부어음(interest-bearing note)은 발행인이 어음기간에 일정률의 이자를 지급하고 만기일에 액면금액 또는 원금을 지급할 것을 약정하는 어음이고, 무이자부어음(non-interest-bearing note)은 발행인이 만기일에 단지 액면금액만을 지급할 것 을 약정하는 어음이다. 한편 어음발행목적에 따라 상업어음(진성어음)과 융통어음으로 나눌 수도 있다. 어음은 유가증권인데, 그 표창(表彰)하는 권리와 증권과의 관계가 아주 밀접하여 권리의 발생/행사와 이전의 전부에 증권이 필요하므로, 완전한 유가증권이다. 어음이 표창하는 권리는 금전의 지급을 목적으로 하는 금전채권이며, 그 권리는 어음의 작성에 의하여 비로소 발생하는 것이므로 설권증권(設權證券)이라 한다. 어음은 유통을 편리하고 안전하게 하기 위하여, 권리의 행사에 원인의 입증을 요하지 않은 무인증권(無因證券)이며 증권상의 권리관계가 증권에 기재한 문구에 따라 정하여지는 문언증권(文言證券)이다. 어음의 유통에서 거래의 안전을 위하여 어음요건인 필요적 기재사항을 법으로 규정하여, 그 하나라도 기재하지 않으면 무효 되는 엄격한 요식증권(要式證券)이다. 어음은 본래 지시식(指示式)을 발생할 수 있으나, 기명식으로 특히 지시문구를 기재하지 아니한 경우에도 법률상 당연히 지시증권(指示證券)으로서 배서에 의하여 양도할 수 있다. "
어음할인 (discounting of bills) ,"어음할인은 은행이 어음소지자의 의뢰에 의하여 액면금액에서 만기일까지의 이자를 공제하고 매입함으로써 어음의 유통을 도모하는 것이며, 은행이 어음할인을 통해 신용을 제공하는 방법이기도 하다. 대상은 주로 상업어음이 되며, 화환(貨換)어음, 은행인수어음 등이 어음할인의 대상이 된다. 상업어음은 상품거래를 전제로 하고 있기 때문에 단기성, 확실성, 자동성, 유동성 등에서 우수한 특징을 지니고 있는 어음이라 할 수 있으나, 일람출급(一覽出給)어음의 경우는 할인의 대상이 되는 지급기간이 없기 때문에 제외된다. 어음할인시장이 발달되어 있는 영국, 미국 등지에서는 은행의 어음할인이 원칙적으로 할인시장에서 중개업자를 통하여 간접적으로 이루어지고 있으며, 어음의 할인업무는 은행, 어음브로커 (bill broker), 할인상사(discount house) 등에 의해 이루어진다. "
엄브렐러펀드 ,"투자자금을 시장상황과 고객의 투자목적, 특성에 따라 주식형, 채권형 등으로 이동할 수 있는 펀드를 말하며 직접투자와 간접투자의 중간성격을 갖고 있다. 다시 말해 주식투자를 하다 증시가 조정을 받을 경우 MMF, 채권 등에 투자해 수익률을 높이는 선진국형 상품이다. 이 펀드는 기존의 하이일드펀드 보다 더 많은 공모주를 배정 받을 수 있어 고수익이 기대되지만 은행과 투신사 등이 보유하고 있는 투기등급의 부실채권을 모아 이를 담보로 발행한 후순위채권에 주로 투자해 다소 위험도 있다. 투신업계는 후순위채권 만기가 통상 5년인데 펀드가입후 1년이 지날 경우 고객들의 요구에 따라 환매를 해주고 이를 고유계정에서 떠안을 것이기 때문에 리스크는 크지 않다고 주장하고 있다. 엄브렐러펀드는 기존 펀드와 달리 해지 때가 아닌 가입시 수수료를 내기 때문에 고객들에게 유리한 것으로 평가 받고 있다. "
업무수탁보조자? ,"한국자산관리공사는 환매 및 차액정산업무, 업무수탁자의 업무와 관련된 소송업무 등을 수행한다. "
업무수탁자 (trustee) ,"업무수탁자는 자산유동화전문회사(SPC)를 대신하여 투자자에게 원리금 지급, 장부관리, 사업보고서 작성 및 여유자금의 운용등의 업무뿐만 아니라 ABS 원리금 지급을 위한 일시적인 자금 부족시 신용공여를 제공하기도 한다. 유동화자산으로부터 발생한 잉여자금의 투자, 유동화 증권에 대한 원리금의 지급대행, 자산으로부터 추심된 원금 및 그 수익금의 수령, 보관 및 운용 등의 각종 SPC의 업무를 위탁 받아서 수행하는 기관이다. 회수금의 수령 보관 및 관리 운용, 유동화 사채의 원리금 지급 및 관련 부수업무수행, 유동화자산의 관리수수료 및 발행수수료 지급, 유동화회사의 신용공여 및 상환, 장부관리, 사업보고서작성, 관련법규에 따른 각종보고 및 공시 등 자산관리자 및 제3자와 위탁인 간의 의사연락 수발의 역할을 수행한다. "
에스크로우 (Escrow) ,"에스크로우 대리인 제도는 공신력있는 변호사나 금융회사 등이 부동산 거래를 포함하여 금융대출까지 일반 소비자들이 부동산을 이용하면서 발생하는 모든 업무를, 제3자의 입장에서 계약에 의한 조건이 성립될 때까지 자금과 계약에 의해 작성된 서류 일체를 보관하여 결과이행의 조건을 완결될 때 까지 업무를 대행해 주는 서비스신탁업이다. 부동산거래사고 방지제도라고도 불리우며, 에스크로우란 원래 조건부 증서를 말한다. 즉 양자간에 어떤 조건이 성립해 증서의 내용이 실행되기까지 제3자가 보관해 두는 증서이다. "
"역외금융 (域外金融, off-shore banking) ","외국환은행이 비거주자로부터 외화자금을 조달하여 비거주자를 상대로 자금을 운용하는 국제금융거래를 의미한다. 즉, 해외 자금시장에서 자금을 조달해 국내에 들여오지 않고 해외거래처에 직접 대출해 주는 금융방식을 말한다. 예를 들어 신용도가 높은 미국계 시티은행이 해외에서 돈을 빌려 동유럽, 서남아시아 등 신용도가 낮은 국가의 기업들에 대출해 주는 것을 말한다. 역외금융은 대개 다수의 금융기관이 참여하는 국제 신디케이트 형식으로 이루어지며 규모는 보통 1억~2억 달러에서부터 수십억 달러까지 다양하다. 우리나라는 1960년대까지만 해도 개발자금 조달을 위해 역외금융을 자금으로 조달하는 입장이었으나 경제규모가 급속히 팽창함에 따라 역외금융을 주선하는 금융기관이 많아지고 있다. 그러나 역외금융은 대부분 개도국 지원이기 때문에 그만큼 위험도 크다. "
"역외금융센터 (域外金融센터, off-shore financing center) ","비거주자간의 금융거래에 대한 조세 및 외환자본상거래의 계약을 예외적으로 면제 또는 축소해줌으로써 그들의 금융거래를 중개해 주는 도시를 역외금융센터라 한다. 이를 통한 금융거래는 국내 금융시장과는 거의 절연되어 있으며 단순히 비거주자간의 금융거래에 대한 중개기능을 수행함으로써 수반되는 여러 가지 소득을 얻는데 관심을 두고 있다. 어떠한 지역이 역외금융센터가 되기 위해서는 비거주자들의 금융거래에 대하여, 그들이 본국이나 타지역에서 적용 받는 규제들을 면제해 주어야 하고 금융거래를 효율적으로 수행할 수 있는 국제통신망을 비롯한 사회간접자본이 발달되어 있어야 한다. 역외금융센터로는 바하마, 버뮤다, 케이만제도, 파나마, 룩셈부르크, 네덜란드 엔틸레스, 리히텐슈타인, 바레인, 홍콩과 싱가폴 등이다. "
"역외금융시장 (域外金融市場, off-shore market) ","자국내에 소재하는 금융기관에 조세나 외환관리 등에 특전을 부여하여 off-shore업무 즉, 비거주자 상호간의 금융거래를 원활히 할 수 있도록 되어 있는 시장이다. 역외금융시장의 성립요건으로는 정치와 경제가 안정되어 있어야 하고, 비밀보장이 확실하여야 하며, 비거주자간 자금이동이 자유로워야 하고, 조세율이 낮아야 한다. 대표적인 역외금융시장으로는 바하마, 버뮤다, 케이만제도, 파나마, 네델란드 엔틸레스, 리히텐슈타인, 룩셈부르크, 뉴 헤브리데스, 홍콩, 바레인 등을 들 수 있다. "
"역외자금 (域外資金, off-shore fund) ",역외자금은 자국의 세제 또는 운용상의 모든 규제를 피하기 위하여 조세나 금융행정상의 특전을 누릴 수 있는 타국에 등기상의 본거지를 두고 국제적으로 통용되는 자금을 말한다. 최근에는 세율이 높은 국가에 거주하는 자가 세율이 낮은 금융시장에서 운용하는 자금을 의미하기도 한다. 
"연결재무제표 (連結財務諸表, consolidated financial statements) ","법적으로는 독립적이지만 경제적으로는 종합적/유기적 관계를 맺고 있는 기업들을 일괄해 하나의 기업으로 보고 작성한 재무제표를 말한다. 연결재무제표는 연결대차대조표와 연결손익계산서로 구성된다. 연결대차대조표는 모기업과 자회사를 중심으로 작성한 대차대조표로 네가지 연결조정(모회사 주식과 모회사 자본의 상쇄 제거 ⇒ 모자회사간의 대차의 제거 ⇒ 모자회사간 이익의 제거 ⇒ 모자회사간 자산,부채,자본금의 합병/정리)을 한 뒤 작성한다. 연결손익계산서는 연결관계에 있는 회사들의 총체적인 회계기간의 경영 실적을 나타내는 것이다. 지배회사의 개별 손익계산서를 기초로 여기에 지배종속회사간 및 종속회사 상호간 거래액과 미실현 손실을 상계 제거하여 작성한다. "
연고자 ,"경매 신청일로부터 계약 요청일 까지 연고관계가 있는 자로서 유입(배당기일을 말한다) 당시의 채무자 및 연대보증인과 유입당시의 물상보증인, 지상권자, 전세권자, 임차권자, 담보권자, 기타 유입자산상의 권리자 및 상린관계에 있는 토지/건물의 소유자를 말한다. "
연대보증인 ,대출을 받지 않았지만 채무자 대신 담보를 제공한 사람과 채무자의 신용을 보증해 주면서 채무에 대해 연대해서 책임을 서 준 사람을 말한다. 남의 채권 때문에 저당권 또는 질권의 목적물을 제공하는 등 타인의 채무를 담보하기 위해 자기의 소유물을 제공하는 사람을 일컫는다. 
연방예금보험공사 (FDIC: Federal Deposit Insurance Corporation) ,"대공항시 미국 금융위기는 1929년 10월 24일 뉴욕 주식시장의 주가 대폭락을 시발점으로 하여 본격화되었으나, 그 이전부터 그러한 위기를 예고하는 여러 조짐이 있었음에도 불구하고 연방준비은행(FRB)은 그러한 정황들을 통화정책에 적절히 반영하지 않음으로써 금융위기가 발생하고, 이 와중에 은행업무의 일시적 중단(Bank Holiday)이라는 최악의 사태가 초래되었다. 이러한 상황에서 의회는 전국적으로 예금자들의 피해가 확산되자, 대공항 직후 금융 안정을 강화하기 위하여 미국은 1933년 은행법을 개정하여 영업중인 은행의 예금을 보호하는 연방예금보험제도를 도입하였고, 이에 따라 같은해 9월 연방예금보험공사(FDIC)가 출범하게 되었다. 그 이전에도 미국에서는 여러 주가 이미 자체적으로 예금보험제도를 시행하고 있었다. 1934년 1월부터 FDIC는 국법은행, 주법은행, 주인가 상호저축은행 등을 대상으로 예금보험 업무를 취급하기 시작하였다. 1950년에 연방예금보호법이 별도로 제정됨에 따라 FDIC는 법적으로 확실한 기반을 갖추게 되었으며, 그 이후 관련 법규의 제/개정에 의해 권한이 점차 확대되었다. FDIC는 연방준비제도 가입은행과 예금보험제도에 가입한 은행의 예금자를 보호하며, 주인가은행(state bank)에 대한 감독권한도 가지고 있다. "
연방준비은행 (FRB: Federal Reserve Bank) ,"연방준비은행은 1914년에 설립된 미국의 중앙은행이다. 연방준비제도이사회(Federal Reserve Board)하에 12개의 연방준비은행이 있다. 연방준비은행이 관할하는 지역을 연방준비지구(Federal Reserve Districts)라 하며 연방준비은행은 이 지구내에서 중앙은행의 기능을 한다. 다만, 외환의 경우에는 뉴욕연방준비은행이 모두 통괄하도록 되어 있다. 연방준비은행이 설립되어 있는 도시를 聯邦準備市(Federal Reserve Cities)라고 하며 Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Kansas City, Dallas, San Francisco, Minneapolis가 그것이다. 이와 같이 중앙은행의 본점을 12개로 한 것은 중앙은행의 중앙집권적 독단을 방지하기 위한 것이다. 연방은행의 자본금은 각 지구의 내셔널은행과 스테이트은행이 출자한 것이며 이들 출자은행은 가맹은행(member bank)이라 하며 이들은 연방준비당국의 검사와 감독을 받고 법적준비금을 유지해야만 연방자금이나 재할인 등의 혜택을 받는다. "
연방준비제도 (FRS: Federal Reserve System) ,"1913년 12월 23일 통화와 신용을 조절하고 상업은행 등에 대한 규제기능과 재무부 등에 대한 서비스기능을 수행하기 위하여 수립된 미국의 중앙은행제도를 가리킨다. 이 제도의 기관에는 이사회, 연방공개시장조작위원회 (Federal Open Market Committee), 12개의 연방준비은행과 가맹은행들이 있다. "
연방준비제도이사회 (FRB: Federal Reserve Board) ,"FRB는 우리나라의 한국은행과 같이 미국의 중앙은행의 역할을 한다. 1913년 12월에 도입된 연방준비제도(FRS: Federal Reserve System)의 주요 목적은 미국내 통화정책의 관장, 금융기관에 대한 감독과 규제, 금융체계의 안정성 유지, 미정부와 대중, 금융기관 등에 대한 금융서비스 제공 등으로 나뉜다. 이를 위해 FRS는 워싱턴 D.C.에 본부를 둔 연방준비제도이사회(FRB)와 12개 지역연방은행을 두고 있다. 현재 앨런 그린스펀이 이사회의 의장이며, 의장을 포함해 모두 7명의 이사(Governor, 14년 단임)가 있다. 이사회는 매주 수요일과 목요일에 두번씩 모여 통화정책을 논의한다. FRS의 최대 기능은 통화정책이다. 고인플레이션이 따르는 경향이 있는 경기확장과 경기침체를 초래하는 지나친 인플레이션 억제정책 사이에서 절묘한 균형을 맞추는 일이다. FRS는 이 통화정책을 재할인률(중앙은행과 시중은행간 여신 금리)등의 금리 결정, 재무부 채권의 매입과 발행(공개시장활동), 지급준비율 결정 등을 통해 수행한다. 그리고 이를 위해 연간 8회 연방공개시장위원회(FOMC)를 개최한다. FRB는 또한 각 지역은행장들이 주요 기업가, 이코노미스트, 시장전문가 등의 경제상황 의견을 종합해 작성하는 베이지 북(Beige Book)을 1년에 8차례 발행한다. FRB가 이 같은 정책을 펴기 위한 기본 전제는 독립성이다. 이사들은 단임(14년)이라, 일단 대통령의 지명과 의회의 인준을 거쳐 취임하면 자연스럽게 정치적 독립을 유지할 수 있기 때문이다. "
열거주의/포괄주의 (positive system & negative system) ,"규제와 제한을 둘 때 그 원칙을 지칭하는 말이다. 포괄주의(negative system)는 제한?금지하는 규정 및 사항을 나열하고 나머지는 원칙적으로 자유화하는 반면, 열거주의(positive system)는 원칙적으로 모든 것을 금지하고 예외적으로 규제나 금지가 되지 않는 사항을 나열하는 체제이다. 따라서 포괄주의가 열거주의보다 훨씬 자유로운 제도라고 할 수 있다. 경제개발 기간 중 수입 가능한 품목을 허용하는 것이나 남북교역에 있어서 교역허용 품목을 별도로 지정하는 것 등이 바로 열거주의이다. 그러나 경제가 발전하면서 일부 지정된 제한품목 외에는 모든 품목에 대한 자유로운 수입이 허용되었으며, 남북교역에 있어서도 점차 규제가 완화되고 자유가 확대되어 가면서 열거주의에서 포괄주의로 바뀌고 있다. 열거주의와 포괄주의의 예는 단지 이러한 교역분야뿐만 아니라 다양한 부문의 법률조항에서 적용되고 있다. "
영업권가치 ,"기업의 명성, 상호의 소유, 특정지역에서 장기간에 걸쳐 이룩한 성공적인 영업성, 투자를 통해 축적해 놓은 생산, 판매, 노하우(know-how) 등으로 인하여 미래에 기대되는 초과수익력의 평가금액을 말하는 것으로 기업이 보유하는 무형의 자산에 대한 가치를 말한다. "
영업양도 ,"영업양도라 함은 일정한 영업목적에 의하여 조직화된 유기적 일체로서의 기능적 재산, 즉 영업재산(물건과 권리외에 고객관계, 구입처관계, 영업상의 비밀, 경영조직 등 재산적 가치가 있는 사실관계 포함)을 이전하는 채권계약을 말한다. X회사는 Y회사의 영업전부를 양수함으로써 경영지배권을 획득할 수 있다. Y회사의 영업의 일부분이 그 자체로서 일정한 영업목적을 달성하는데 충분한 정도로 유기적으로 결합된 기능적 재산을 구성한다면 그 영업의 일부만을 일체로서 양도하는 것도 가능하다. 영업양수도는 자산/부채 전부에다가 영업권과 같은 사실관계 및 인적조직 전체를 포괄적으로 이전하는 경우가 많으나, 당사자 상호간의 합의로써 여러 가지 변형이 가능한 것이므로, 구체적/개별적 사정여하에 따라 주식매수 혹은 합병으로 인한 법률효과의 일부를 배제하고자 하는 경우에 고려해 볼 수 있는 방법이다. 영업양도는 영업재산을 목적으로 하는 채권/채무를 발생시키는 채권계약이며, 그에 의하여 영업재산을 직접 이전시키는 효력이 발생하는 처분행위가 아니므로, 채권계약의 이행으로서, 영업재산을 구성하는 개개의 적극재산 및 소극재산에 대한 이전절차를 밟아야 한다는 점에서 흡수합병과 큰 차이가 있다. "
영업용 순자본 비율 (營業用 純資本 比率) ,"영업용 순자본 비율이란 자금의 조달 및 운용에 있어 증권사들이 어느 정도 재무건전성을 확보하고 있는가를 비교 평가하기 위해 최근에 도입된 지표이다. 따라서 은행에 대한 BIS 자기자본비율과 유사한 성격의 지표라고 할 수 있다. 증권사들의 자금조달구조를 보면 만기 1년 이내인 고객예수금, 단기차입금, 콜머니 등과 같은 유동부채의 비중이 높은 점을 감안할 때 가급적 위험성이 낮고 유동성 측면에서 여유가 있도록 자산운용을 해야 만일의 유동성 위기에 대비할 수 있게 된다. 이 비율은 자기자본에서 고정자산을 뺀 금액(영업용 순자본)을 총위험액(시장위험액+기초위험액)으로 나눈 것을 백분율로 표시한 것(100×영업용 순자본/총위험액)이다. 영업용 순자본은 증권사가 보유한 자산 중 신속하게 현금화 할 수 있는 자산을 말하며, 총위험액 중 시장위험액은 보유자산의 가격변동이나 거래자의 파산으로 인해 입을 수 있는 손실 등을 의미하고, 기초위험액은 3개월분 일반관리비와 같은 고정비용 등을 합산해 산출한다. "
영업일 (business day) ,"영업일이라 함은 토요일, 일요일, 대한민국 또는 미합중국의 국유은행이 영업을 하지 아니하는 날 이외의 날을 말한다. "
영점기준예산 (zero-base budget) ,"모든 예산항목에 대해 기득권을 인정하지 않고 매년 제로를 출발점으로 과거의 실적이나 효과, 정책의 우선 순위를 엄격히 사정해서 예산을 편성하는 방법을 말한다. 미국의 사무기기 업체인 제록스사가 처음으로 도입한 이후 기업차원이 아닌 국가차원으로 그 적용범위가 확대되었다. 구체적인 추진을 위해서는 각종 정책의 우선 순위 판정, 상호연관성의 분석, 법률개정 등 많은 선행조건이 있어야 한다. 예산규모의 무질서한 팽창, 경직화를 방지하기 위해 기득권이나 관습에 얽매이지 않는다는 점에서 긍정적으로 평가 받고 있다. 특히, IMF 경제위기 이후 재정건전성의 악화가 심각히 대두되고 있는 상황에서 이러한 제로베이스 예산제도의 적극적인 적용과 그에 따른 예산의 효율적인 편성과 사용이 요구되며, 이를 통해 재정건전화의 회복을 추구해야 할 것이다. "
예금보험제도 (deposit insurance) ,"예금보험제도란 금융기관의 파산 등으로 해당 금융기관이 기존예금자의 예금인출요구에 응할 수 없는 경우, 예금보험기관이 당해 금융기관을 대신하여 예금을 지급하는 제도로서 부보 금융기관은 이러한 서비스의 대가로 일정한 보험료를 정기적으로 예금보험기관에 납부하여야 한다. 일반적으로 예금자를 보호하는 수단으로 금융기관 감독제도, 지불준비금제도 및 상호보장제도 등이 있으나 예금보험제도는 여타 감독 수단보다도 가장 직접적으로 예금자를 보호하는 수단으로서 금융제도의 안정성 유지를 위해 다수의 국가에서 시행하고 있다. 우리나라의 경우 1995년 12월 29일 예금자 보호법이 제정됨에 따라 예금보험제도가 도입되었으며 예금보험을 전담하는 기구로 예금보험공사가 설립/운영되고 있다. 「예금자보호법」에 의해 설립된 예금보험공사가 평소에 금융기관으로부터 보험료(예금보험료)를 받아 기금(예금보험기금)을 적립한 후, 금융기관이 예금을 지급할 수 없게 되면 금융기관을 대신하여 예금을 지급하게 된다. "
예금증서 (CD: Certificate of Deposit) ,"은행이 발행한 예금증서를 가리키며 양도가능 형식과 불가능 형식이 있다. 양도가 가능한 것을 양도성예금증서(NCD)라고 한다. 예금증서는 1900년대 초부터 개인과 기업의 저축성예금을 흡수하기 위하여 발행되었으나, 1961년 2월 Citibank가 양도가능하다는 표시를 하여 발행하기 시작함으로써 본격화되었다. 1976년에는 Morgan Guaranty Trust Co.가 rollover CD(roly-poly CD)를 개발하였다. 1975년부터는 변동금리예금증서가 일반적으로 발행되고 있으나 고정금리예금증서(fixed rate certificate of deposit)도 있다. 미국내 외국은행지점이 발행한 것을 Yankee CD라고 하며, 미국 이외의 지역에서 발행된 미달러표시 CD를 유로 달러 CD라고 한다. 발행방법에 따라 투자자의 요구가 있을 때 수시로 발행되는 것을 tap CD라고 하고, 발행은행 이 일정금액을 정하여 발행하고 간사은행 또는 딜러에게 일괄 인수시키는 것을 tranche CD라고 한다. "
예대금리차 ,"은행의 수익성에 가장 큰 영향을 미치는 것이 예금과 대출간의 금리차이다. 은행계정의 기본적인 자금조달이 예금이며, 자금운용은 대출이므로 예대금리차는 은행의 수익을 결정하는 원천이 된다. 즉 대출금리가 예금금리보다 높게 책정되어 있어 적정 수준의 이익이 보장되는 것이다. "
"예산 (豫算, budget) ","예산은 1회계연도에 있어서의 수입 및 지출의 예정액으로서 1년간 국가재정계획의 계량적 표시라고 할 수 있으며 이를 실질적 의미의 예산이라 한다. 또한, 이러한 1년간의 국가 재정활동의 계획을 일정한 형태에 따라 세입/세출의 형식으로 표시하여 국회에 제출되는 예산서를 형식적 의미의 예산이라 하여 계속비, 국고채무부담행위, 일시차입금의 한도, 재정증권의 발행한도에 관한 것 등 실질적 의미의 예산 이외의 요소를 포함하고 있다. 본예산과 추가경정예산의 합계가 그 해의 최종적인 예산으로 된다. 수정예산과 추가경정예산은 예산안의 편성이 끝난 후에 이를 변경하기 위한 제도라는 점에서는 동일하다. 그러나 수정예산은 정부가 국회에 예산을 제출한 후 아직 예산이 의결되기 전에 정부가 제출한 예산안을 수정할 수 있도록 한데 반해, 추가경정예산은 정부안이 국회의 의결을 얻어 성립한 다음에 발생한 사유로 인하여 이미 성립한 예산에 변경을 가할 필요가 있을 때 사용되는 제도라고 할 수 있다. 그리고 법률상 또는 계약상 국가의 의무에 속하는 경비의 부족을 보전하는 것 외에 예산 성립 후 발생한 사유로 인해, 특히 긴요하게 된 경비의 지출 또는 채무의 부담을 위해 필요한 예산을 추가할 경우이거나 예산 성립 후 발생한 사유로 인해, 예산 추가 이외의 변경을 가하는 경우에 편성된다. "
예산의 배정 (豫算의 配定) ,"예산이 성립되면 정부는 예산이 정한 바에 따라서 각 중앙관서의 장에 대하여 각각 집행되어야 할 세입/세출예산, 국고채무부담행위 등에 대하여 배분하는데 이것을 예산의 배정이라 한다. 예산이 성립되면 각 중앙관서의 장은 사업운영계획 및 이에 의한 세입/세출예산, 계속비와 국고채무부담행위가 포함된 예산배정요구서를 기획예산처장관에게 제출하고 세입예산 월별 징수계획서와 세출예산 월별 지출계획서를 재정경제부장관에게 제출한다. 기획예산처장관은 각 중앙관서의 장이 제출한 예산배정요구서와 재정경제부장관이 제출한 월별 자금계획서에 의거하여 4분기별로 예산배정 계획을 작성하고 재정경제부장관이 제출한 월별 자금계획과 함께 국무회의의 심의를 거쳐 대통령의 승인을 얻는다. 예산배정 계획과 자금계획이 대통령의 승인을 얻게 되면, 기획예산처장관은 각 중앙관서의 장에게 4분기별로 예산을 배정하고 감사원에 통지한다. 세출예산과 계속비를 배정할 때는 항 또는 목으로 구분해야 한다. "
예산의 이용/전용 (豫算의 移用/轉用) ,"예산의 이용은 사업계획이나 여건의 변동에 따라 예산집행을 탄력적으로 운용함으로써 사업을 보다 효율적으로 추진하고 예산의 적정한 사용을 도모하기 위한 제도로서 [예산회계법]이 정하는 목적외 예산 사용금지의 예외적인 제도라 할 수 있다. 예산의 이용은 예산이 정한 각 기관/장/관/항 등 입법과목 사이에 상호 융통하는 것으로 원칙적으로 허용되지 않으나, 예산 집행상의 필요에 의하여 미리 국회의 승인을 얻을 경우와 정부조직 등에 관한 법령의 제/개정이나 폐지로 인하여 그 직무와 권한에 변동이 있을 때에는 기획예산처장관은 당해 중앙관서의 장의 요구에 의하여 이용토록 할 수 있다. 한편 예산의 전용은 예산집행을 탄력적으로 운용함으로써 사업을 보다 효율적으로 추진하고 예산의 적정한 사용을 도모하기 위한 제도로서 [예산회계법]이 정하는 목적외 예산 사용금지에 대한 예외적인 제도라 할 수 있다."
예산편성지침 (豫算編成指針) ,"다음 연도 예산편성의 기본방향, 중점목표 등을 제시한 예산편성지침은 다음해의 국내외 경제전망, 재정운용방향, 경비별 편성지침 및 예산요구서에 사용할 각종 서식 등으로 구성되어 있다. 기획예산처장관은 매년 3월 31일까지 국무회의의 심의를 거쳐 대통령의 승인을 얻어 다음 연도의 예산편성지침을 각 중앙관서의 장에게 시달하도록 되어 있다. "
"예탁증권 (預託證券, DR: Depository Receipt) ","주로 국제간에 걸친 주식의 유통수단으로 이용되는 대체증권을 뜻한다. 기업의 주식을 근거로 하여 외국인 투자가에게 발행, 교부하는 국제유통증권을 가리킨다. 일반적으로 외국주식을 자국시장에서 유통시키는 경우, 원주식은 채권의 국외수송과 언어 관습의 차이로 인한 문제가 발생할 소지를 가지고 있다. 이를 해결하기 위해 외국의 투자가에게 소액의 수수료를 징수하고 국내의 주주와 똑 같은 권리를 향유하게 하고 외국에서 유통성을 확보하기 위한 것이 예탁증권제도이다. 1927년 미국에서 Morgan Guaranty Trust Co.가 최초로 이를 발행하였으며, 미국의 증권업자가 외국에서 주식을 구입하여 미국은행 현지점에 예탁하고 수탁은행은 미국본점에서 지점에 예탁된 외국주식을 근거로 하여 같은 액수의 예탁증권을 발행하며, 증권업자가 이를 미국내에서 매매하여 유통시키게 된다. 현재까지 발행된 예탁증권에는? ADR(American Depository Receipt: 뉴욕 발행), EDR(European Depository Receipt: 런던, 룩셈부르크 발행), IDR(International Depository: 브뤼셀 발행), CDR(Continental Depository Receipt: 암스텔담 발행), GBC(Global Bearer Certificate: 프랑크프르트 발행), BC(Bearer Certificate: 비엔나 발행), HKDR(Hong Kong Depository Receipt: 홍콩발행)과 DRS(Depository Receipt of Singapore)등이 있다. "
온비드/ OnBid (On-line Bidding 의 약어),"(정의)공공기관의 자산처분 공고, 물건？입찰정보를 실시간 제공하고, 입찰？계약？등기 등의 관련 절차를 온라인상에서 원스탑 처리하는 국가지정 정보처리장치(해설)2002년 재정경제부 장관에 의해 지정정보처리장치로 지정？고시 되었으며, 기획재정부 고시(2006-6) 및 안전행정부 고시(2006-1)에 의해 국유재산 및 공유재산 관리 및 처분 시 지정정보처리장치로 지정되었다. "
